Step,Consistent,Confidence,Minimum,Iterations,Time
0,1,1,-6.87137e-05,2314981,2.22454
1,1,1,-0.00017475,711057,0.782981
2,0,0.732242,0.000142823,3056000,3.00018
3,1,1,-0.000616908,84424,0.0711537
4,1,1,-7.65815e-05,1714602,1.60407
5,0,0.748179,0.000387619,3650000,3.00007
6,0,0.740953,0.000393394,3371000,3.00045
7,1,1,-0.000105464,2515510,2.43483
8,0,0.712771,0.000150095,2631000,3.00004
9,0,0.722781,0.000537644,2825000,3.00072
10,0,0.72302,0.000195752,2844000,3.00054
11,0,0.739197,0.000452689,3316000,3.00076
12,1,1,-0.000117351,342324,0.283947
13,0,0.717711,0.000437926,2753000,3.00056
14,1,1,-0.000408038,2019089,2.0928
15,1,1,-4.24932e-05,837484,0.726335
16,1,1,-0.000426732,2469993,2.61336
17,1,1,-2.40698e-05,737603,0.702672
18,1,1,-0.00061306,595798,0.473018
19,1,1,-0.00083666,489776,0.538414
20,0,0.735173,7.66024e-05,3110000,3.00033
21,1,1,-2.76461e-05,724590,0.859137
22,1,1,-0.000208963,850246,0.88041
23,0,0.706672,2.69518e-05,2443000,3.00091
24,0,0.712493,0.000139903,2573000,3.00063
25,1,1,-0.00023757,1146798,1.32251
26,0,0.712549,0.000219236,2559000,3.00049
27,1,1,-3.67395e-05,490800,0.57095
28,1,1,-0.00040852,2412824,2.69039
29,1,1,-0.00038283,1012472,1.32772
30,1,1,-0.000159194,2366620,2.76039
31,0,0.723488,0.00043458,2742000,3.00007
32,1,1,-1.26257e-05,1955743,2.28898
33,0,0.733527,3.74976e-05,2966000,3.00016
34,1,1,-0.00023209,296721,0.383061
35,1,1,-0.000167836,1744708,1.92367
36,0,0.727258,0.000322293,2791000,3.00082
37,0,0.729085,0.000223707,2814000,3.00003
38,0,0.716375,0.000253569,2577000,3.00105
39,1,1,-0.000215878,932454,1.05284
40,1,1,-0.000215818,2412378,2.56218
41,1,1,-0.000469114,2433527,2.8154
42,1,1,-0.000112881,166681,0.277884
43,0,0.69992,0.000136854,2247000,3.00022
44,0,0.712361,0.000424098,2437000,3.00242
45,1,1,-0.000239898,36337,0.0500255
46,0,0.706088,0.000592183,2336000,3.00001
47,0,0.698806,0.000415211,2210000,3.00588
48,1,1,-0.000132014,668286,0.85523
49,0,0.720764,0.00037844,2662000,3.00088
50,0,0.721875,0.000380134,2686000,3.00037
51,0,0.726048,1.94118e-05,2804000,3.00002
52,1,1,-0.000460495,900149,1.08275
53,0,0.712276,0.000152215,2485000,3.00023
54,0,0.71132,0.000886272,2482000,3.00025
55,0,0.730121,0.00010414,2928000,3.00099
56,0,0.70848,0.00064231,2464000,3.00001
57,0,0.705688,0.000106107,2418000,3.00031
58,0,0.69966,0.000761519,2343000,3.00067
59,1,1,-0.000231196,466937,0.423158
60,1,1,-4.10224e-06,1614409,1.76187
61,1,1,-8.53434e-05,892762,0.99225
62,1,1,-7.85708e-05,835009,0.905684
63,0,0.729161,0.000197432,3101000,3.00094
64,1,1,-0.000370671,542519,0.407798
65,1,1,-0.000381571,470385,0.428463
66,0,0.731191,0.000158667,2908000,3.00007
67,0,0.747023,0.000729273,3312000,3.00088
68,1,1,-0.00013708,1287077,1.22846
69,0,0.751813,7.3205e-05,3241000,3.00041
70,0,0.756593,0.00020429,3320000,3.00023
71,0,0.772738,0.000497396,3846000,3.00013
72,0,0.771809,0.00012068,3686000,3.00054
73,1,1,-7.17535e-05,1810558,1.88379
74,1,1,-0.000225317,1929184,1.59205
75,1,1,-0.000456751,124826,0.103991
76,1,1,-0.000188713,262274,0.193921
77,1,1,-6.43029e-05,55462,0.0506458
78,1,1,-6.42077e-06,139370,0.116506
79,1,1,-0.000182007,613171,0.498029
80,1,1,-0.000147019,673759,0.693261
81,1,1,-0.000102718,112040,0.0906016
82,1,1,-3.2325e-05,1043767,0.986616
83,1,1,-3.14012e-05,997351,0.93459
84,1,1,-0.000121002,1352755,1.51312
85,1,1,-5.26204e-05,543242,0.529156
