Step,Consistent,Confidence,Minimum,Iterations,Time
0,0,0.707311,0.000514545,2486000,3.0007
1,1,1,-0.000219245,172472,0.197237
2,1,1,-0.000475694,663545,0.766438
3,0,0.73345,0.000287126,3119000,3.00413
4,1,1,-3.65477e-05,1869762,1.80586
5,1,1,-3.67656e-05,773706,0.795821
6,0,0.737317,0.000384039,3277000,3.00006
7,1,1,-0.00024717,2285605,2.41214
8,1,1,-0.000296966,683254,0.55587
9,0,0.719646,9.28149e-05,2769000,3.00012
10,0,0.724561,0.000314917,2893000,3.00059
11,0,0.740316,0.000363718,3330000,3.00006
12,0,0.732852,0.000397044,3094000,3.00084
13,1,1,-5.26335e-05,1415799,1.41773
14,1,1,-0.00013911,2902508,2.76381
15,1,1,-1.96553e-05,1568357,1.56664
16,0,0.727073,0.000236026,2921000,3.0001
17,0,0.729076,0.000342856,2978000,3.00066
18,0,0.733661,0.000271819,3095000,3.00035
19,0,0.719322,0.000466441,2702000,3.0002
20,0,0.734871,0.000757381,3076000,3.0007
21,0,0.716134,0.00119979,2606000,3.00041
22,0,0.722621,0.00108723,2757000,3.00148
23,0,0.709472,0.00142772,2508000,3.00023
24,0,0.735398,0.00114915,3070000,3.00039
25,0,0.733804,0.0010238,3063000,3.00061
26,0,0.719084,0.000807435,2661000,3.00078
27,0,0.717179,0.00150419,2603000,3.00099
28,0,0.732283,0.00101341,3040000,3.00104
29,0,0.716441,0.00101538,2563000,3.00123
30,0,0.725794,0.0016045,2768000,3.00048
31,0,0.709312,0.00139792,2422000,3.00076
32,0,0.721925,0.000769566,2658000,3.0004
33,0,0.738408,0.00174106,3144000,3.0005
34,0,0.712145,0.0010394,2466000,3.00349
35,0,0.707013,0.000894984,2390000,3.00089
36,0,0.723327,0.000834276,2764000,3.0003
37,0,0.731919,0.00169064,2967000,3.00013
38,0,0.723505,0.000568038,2774000,3.00179
39,0,0.728393,0.000918516,2896000,3.00042
40,0,0.710676,0.000804196,2532000,3.00039
41,0,0.730299,0.000782679,2988000,3.00009
42,0,0.743872,0.000519405,3444000,3.00012
43,0,0.741988,0.00035591,3385000,3.00058
44,1,1,-1.86607e-05,2242357,1.776
45,0,0.741278,0.000541519,3403000,3.00043
46,0,0.738185,0.000543381,3349000,3.00018
47,0,0.731499,6.48827e-05,3160000,3.00052
48,0,0.731934,0.000398468,3168000,3.00082
49,1,1,-0.000195649,2522212,2.6575
50,1,1,-0.000681092,433145,0.4433
51,1,1,-0.000661325,2988169,2.5862
52,0,0.752545,1.91994e-05,3529000,3.00038
53,0,0.744526,3.49388e-05,3136000,3.00057
54,0,0.734967,0.000829644,2755000,3.00022
55,0,0.759156,0.00086088,3562000,3.00079
56,0,0.751585,0.000918514,3206000,3.00049
57,0,0.74243,0.000984899,2938000,3.00168
58,0,0.757281,0.000998038,3427000,3.00063
59,0,0.758564,0.00128636,3506000,3.00077
60,0,0.738239,0.00147584,2936000,3.0121
61,0,0.740474,0.00113916,2984000,3.00003
62,0,0.747926,0.000689344,3244000,3.00135
63,0,0.725379,0.00060268,2614000,3.0002
64,0,0.738566,0.000771,2962000,3.00095
65,0,0.721656,0.000976737,2551000,3.00113
66,0,0.733944,0.000742358,2853000,3.00047
67,0,0.723511,0.000304393,2576000,3.00168
68,0,0.718406,0.000444652,2483000,3.00911
69,0,0.721751,0.00099365,2500000,3.00198
70,0,0.728684,0.00124478,2636000,3.00032
71,0,0.724079,0.00118299,2549000,3.00039
72,0,0.734995,0.000311221,2829000,3.00012
73,0,0.720451,0.000357167,2470000,3.00045
74,0,0.728147,0.000370438,2644000,3.00027
75,0,0.739112,0.000259307,2897000,3.0009
76,0,0.721428,0.000132869,2503000,3.00079
77,1,1,-0.00010186,676545,0.930941
78,0,0.723784,3.35679e-05,2517000,3.00089
79,0,0.735788,0.00056095,2805000,3.00012
80,0,0.718332,0.000357847,2424000,3.00104
81,0,0.713465,0.000252049,2307000,3.00003
82,0,0.701886,0.000138085,2133000,3.00032
83,0,0.723687,8.97695e-05,2524000,3.00066
