Step,Consistent,Confidence,Minimum,Iterations,Time
0,0,0.733823,0.000103961,3140000,3.00044
1,1,1,-9.33276e-05,34954,0.0375869
2,1,1,-0.000277681,2076548,2.20299
3,1,1,-8.0792e-05,2226862,2.40335
4,0,0.736,4.35768e-05,3220000,3.00044
5,1,1,-0.000318994,2478637,2.35551
6,1,1,-0.000132463,684135,0.663656
7,0,0.74179,5.74694e-05,3431000,3.00054
8,1,1,-7.87273e-05,195334,0.156525
9,1,1,-0.000220029,208717,0.169214
10,1,1,-0.000288774,562107,0.446152
11,0,0.737823,8.44703e-05,3252000,3.00111
12,1,1,-0.000181545,2554936,2.54949
13,0,0.73515,3.57137e-05,3138000,3.00054
14,1,1,-6.34089e-05,210675,0.162093
15,1,1,-0.000348498,849479,0.648837
16,1,1,-0.000644256,519990,0.398144
17,1,1,-0.00026219,2596571,2.42558
18,1,1,-9.0054e-05,573432,0.484486
19,1,1,-0.000522663,2453867,2.57551
20,0,0.738191,0.000360619,3224000,3.00039
21,0,0.724728,0.000134326,2856000,3.00025
22,0,0.728705,0.000120391,2950000,3.00156
23,1,1,-0.000802387,734231,0.810323
24,1,1,-9.45169e-05,2534809,2.98502
25,0,0.718326,0.000432085,2639000,3.00028
26,0,0.732017,0.000387739,2990000,3.0006
27,0,0.730013,0.000370811,2936000,3.00056
28,0,0.731567,0.00028504,2934000,3.00027
29,1,1,-8.97541e-05,656420,0.786888
30,1,1,-0.000161578,359452,0.5017
31,1,1,-0.000478972,983951,1.04427
32,1,1,-0.000214149,628951,0.672553
33,0,0.727795,0.000375997,2834000,3.0006
34,1,1,-0.000460376,2687747,2.98505
35,1,1,-6.48643e-06,848266,1.12884
36,1,1,-0.000234236,2266492,2.42498
37,0,0.72826,0.00011916,2855000,3.00058
38,1,1,-2.13876e-05,1064369,1.42616
39,0,0.710244,0.000915512,2435000,3.0016
40,0,0.727323,0.000772328,2831000,3.00139
41,0,0.731303,0.000263046,2932000,3.00005
42,0,0.721844,0.000185262,2656000,3.00013
43,0,0.711814,0.00112687,2482000,3.00063
44,1,1,-4.83885e-05,651217,0.883021
45,0,0.685732,0.000500379,2010000,3.00126
46,1,1,-0.000472595,24404,0.0379259
47,0,0.725608,0.000382315,2801000,3.00074
48,1,1,-3.4441e-05,721392,0.768884
49,1,1,-2.1328e-05,110579,0.151523
50,1,1,-0.000559141,820859,0.823002
51,0,0.691477,0.000567566,2128000,3.00051
52,0,0.718126,0.000259946,2679000,3.00015
53,0,0.736449,7.68409e-05,3097000,3.00039
54,1,1,-0.000376572,689712,0.768654
55,1,1,-0.000227262,2335311,2.43841
56,1,1,-1.62518e-05,395322,0.370652
57,1,1,-0.000522126,611426,0.666271
58,1,1,-5.95942e-05,1460175,1.2992
59,1,1,-0.000572015,38315,0.0668955
60,1,1,-0.000182847,469344,0.494445
61,1,1,-0.00025617,1272360,1.43632
62,1,1,-0.000557348,1398702,1.34112
63,1,1,-0.000270595,910211,0.942386
64,1,1,-0.00040399,1202447,1.21196
65,1,1,-0.000314285,642287,0.686689
66,1,1,-0.000233878,2210535,2.14521
67,0,0.738532,0.000185021,3308000,3.00057
68,1,1,-0.000413288,2929030,2.85663
69,1,1,-0.000394095,2090442,2.03563
70,1,1,-0.000114132,140093,0.116097
71,1,1,-0.000173201,1929553,2.00109
72,1,1,-0.000448127,1806145,1.84378
73,1,1,-0.00015526,846572,0.918369
74,1,1,-7.0066e-05,594303,0.475499
75,1,1,-0.000472029,281881,0.225861
76,1,1,-8.40023e-05,2025824,1.55657
77,1,1,-0.000353624,184240,0.157418
78,1,1,-0.000461791,506875,0.423877
79,1,1,-0.000302185,1058128,0.860465
80,1,1,-5.16071e-05,2557222,2.03207
81,1,1,-8.53732e-05,2047416,1.60436
82,1,1,-0.000130524,49054,0.0370051
83,1,1,-0.000358839,446880,0.352918
84,1,1,-0.000700568,389220,0.337104
85,1,1,-2.66989e-05,272606,0.233442
86,1,1,-0.000370247,121143,0.105451
87,1,1,-0.000372442,193969,0.147894
88,1,1,-0.000131481,168880,0.130418
89,1,1,-0.000525561,287389,0.236032
90,1,1,-0.000207423,272055,0.23239
91,1,1,-0.000202679,86227,0.0689399
92,1,1,-0.000462486,866538,0.765683
93,1,1,-0.000302856,740499,0.687063
94,1,1,-5.52207e-05,303776,0.324814
95,1,1,-0.000427534,39473,0.0305161
96,1,1,-0.000643139,2140083,2.08222
97,0,0.725456,7.25717e-05,2644000,3.00071
98,0,0.736471,0.000111993,2875000,3.00063
99,1,1,-2.66626e-05,276675,0.244233
100,0,0.729737,0.000234992,2715000,3.00004
101,1,1,-7.70832e-06,136599,0.15385
102,1,1,-6.79388e-05,117201,0.113204
103,1,1,-0.000465696,240784,0.332143
104,1,1,-0.000432064,1345644,1.40295
