Step,Consistent,Confidence,Minimum,Iterations,Time
0,1,1,-0.000360088,116031,0.126693
1,1,1,-0.00023798,632651,0.537911
2,1,1,-0.000437756,1834934,1.7191
3,1,1,-4.67196e-05,1328684,1.24463
4,1,1,-0.00010996,1586077,1.60241
5,1,1,-0.000421692,606108,0.590804
6,1,1,-1.63808e-05,83602,0.0731765
7,0,0.729598,0.000142287,2988000,3.00268
8,1,1,-5.51834e-05,1542762,1.76871
9,1,1,-0.000138332,2144496,1.78169
10,1,1,-0.000216533,284768,0.349928
11,0,0.724987,0.000338267,2912000,3.00052
12,1,1,-0.000446179,1642669,1.73857
13,1,1,-2.53811e-05,77667,0.0573901
14,0,0.729867,0.000292025,3011000,3.00066
15,0,0.723507,0.000240813,2818000,3.00292
16,1,1,-0.000307311,114144,0.113917
17,0,0.724228,0.000268708,2822000,3.00136
18,0,0.731443,0.000113975,2992000,3.00047
19,0,0.739447,0.000356387,3197000,3.00019
20,1,1,-0.000304227,593626,0.533682
21,1,1,-4.46334e-05,887504,0.940473
22,1,1,-0.000271191,475215,0.424386
23,1,1,-0.000157703,1891200,2.56638
24,0,0.717875,7.81522e-05,2598000,3.00051
25,1,1,-0.000100606,2040164,1.95911
26,1,1,-0.000306059,777119,0.813907
27,1,1,-8.09326e-05,1554526,1.62176
28,1,1,-0.000400473,665633,0.753042
29,1,1,-0.000508894,308869,0.362483
30,1,1,-0.000336041,1638284,1.86198
31,0,0.713406,9.33514e-05,2505000,3.00431
32,0,0.693087,0.000173341,2213000,3.0009
33,1,1,-0.000487012,1895600,2.10132
34,0,0.720935,0.000252973,2882000,3.00021
35,0,0.696946,0.000337254,2693000,3.00079
36,0,0.657755,8.44942e-07,2367000,3.00098
37,1,1,-0.000122417,545772,0.664163
38,0,0.643563,0.000211845,2656000,3.00034
39,0,0.588093,0.000496756,2260000,3.00062
40,0,0.602931,0.000475894,2610000,3.00066
41,1,1,-0.000199665,452189,0.588806
42,1,1,-0.000799407,734951,0.888145
43,1,1,-0.000334491,24740,0.0327436
44,0,0.578448,9.31129e-05,2514000,3.00006
45,0,0.604558,0.000136505,2625000,3.00066
46,0,0.608689,0.000468145,2466000,3.00089
47,0,0.631329,0.00059415,2465000,3.00069
48,0,0.657502,0.00101472,2391000,3.00096
49,1,1,-0.000214328,2572415,2.75225
50,1,1,-1.09568e-05,384269,0.436252
51,0,0.705075,0.000132452,2364000,3.0009
52,0,0.709657,0.00120247,2318000,3.00011
53,0,0.711744,0.000763069,2374000,3.00101
54,1,1,-0.000110735,2194073,2.83166
55,1,1,-0.000207175,1458438,1.57271
56,1,1,-8.2836e-05,835101,0.940803
57,0,0.726139,0.000254436,2770000,3.00259
58,1,1,-0.000215321,325846,0.481516
59,0,0.705391,0.000184675,2344000,3.00127
60,0,0.723358,0.00122446,2663000,3.00296
61,0,0.71876,0.00116308,2592000,3.00059
62,0,0.724695,0.000692937,2785000,3.00068
63,1,1,-0.000181188,2062054,1.93299
64,1,1,-7.48856e-05,4149,0.0134123
65,1,1,-0.000129475,153286,0.132041
66,1,1,-3.4143e-05,153413,0.130603
67,1,1,-2.77653e-05,291844,0.258461
68,1,1,-0.000319709,707310,0.66663
69,0,0.723998,0.00063629,2876000,3.00083
70,0,0.718831,0.000177513,2759000,3.00052
71,0,0.719394,0.000387083,2802000,3.00087
72,0,0.714863,0.000651489,2663000,3.00157
73,0,0.731976,0.000226329,3148000,3.00072
74,1,1,-0.000544597,2012124,1.7874
75,0,0.724703,2.46868e-05,2848000,3.00057
76,1,1,-1.0927e-05,2316561,2.19494
77,0,0.732794,0.000283907,2846000,3.00021
78,1,1,-0.00012954,94496,0.0760082
79,0,0.743919,0.000107001,3074000,3.00002
80,0,0.733529,0.000470261,2615000,3.00015
81,1,1,-0.000358154,1005803,0.876705
82,1,1,-0.000495602,906988,0.817026
83,1,1,-3.85239e-05,979008,0.879101
84,1,1,-6.18307e-05,225693,0.157504
85,1,1,-0.000251012,711275,0.769531
86,0,0.741263,0.000566833,2709000,3.0006
87,0,0.750429,0.000432655,2970000,3.00055
88,0,0.745242,9.28377e-05,2822000,3.00002
89,0,0.751538,0.000126849,3064000,3.00018
90,1,1,-0.000370619,2784199,2.89533
91,1,1,-0.000261177,53193,0.0522137
92,1,1,-4.91273e-08,364171,0.479292
93,0,0.731302,0.000423412,2555000,3.00083
94,0,0.737509,0.000345971,2697000,3.00219
95,0,0.731241,0.000192474,2552000,3
96,1,1,-0.000275393,682176,0.901227
