Step,Consistent,Confidence,Minimum,Iterations,Time
33,0,0.909212,0.00447798,5267000,2.00016
34,0,0.921285,0.0131095,5327000,2.00003
35,0,0.93707,0.00523154,5316000,2.00028
36,1,1,-4.6283e-05,1607297,0.606261
37,0,0.942928,0.00580852,5208000,2.00029
38,1,1,-0.000400957,967383,0.368972
39,1,1,-0.000664815,802912,0.303196
40,1,1,-0.00193992,3875756,1.46496
41,1,1,-0.00166824,4985463,1.90364
42,1,1,-0.000207212,1933367,0.728451
43,1,1,-0.000202715,1327507,0.50085
44,1,1,-0.000126988,3807475,1.44345
45,1,1,-0.00282037,2077295,0.795189
46,1,1,-0.00365622,1675579,0.63039
47,1,1,-0.00439706,1951330,0.733049
48,0,0.880889,0.000576653,5324000,2.00014
49,1,1,-0.000792056,172340,0.0689916
50,0,0.877479,0.00233772,5350000,2.00004
51,1,1,-0.00241979,176199,0.0688468
52,1,1,-2.27764e-05,165558,0.0621295
53,1,1,-0.00317909,227014,0.0869362
54,1,1,-0.00226364,2237293,0.831984
55,1,1,-0.0038504,32649,0.0161643
56,1,1,-0.00255778,3129026,1.17287
57,0,0.88117,0.00532851,5325000,2.00023
58,0,0.885197,0.000308651,5352000,2.00016
59,1,1,-0.00437949,171759,0.067131
60,1,1,-0.00182484,465413,0.175281
61,1,1,-0.00544354,239585,0.0905734
62,1,1,-0.00308672,641596,0.237198
63,1,1,-0.00563458,186153,0.0722044
64,0,0.878709,0.00896266,5370000,2.00024
65,0,0.882131,0.00844008,4884000,2.00004
66,0,0.897823,0.0019826,5384000,2.00001
67,1,1,-0.00148814,90752,0.0371789
68,1,1,-0.00189893,78982,0.0304984
69,1,1,-0.00706208,488965,0.184291
70,1,1,-0.0011465,164291,0.0636961
71,1,1,-0.00167599,456142,0.16876
72,1,1,-2.19457e-05,500636,0.187002
73,0,0.878796,0.00483354,5366000,2.00011
