Step,Consistent,Confidence,Minimum,Iterations,Time
0,1,1,-0.000486318,522502,0.49737
1,0,0.735108,0.000212084,3209000,3.00048
2,1,1,-0.000103404,324300,0.268585
3,1,1,-6.97456e-05,693990,0.496773
4,0,0.728688,0.000625561,3040000,3
5,1,1,-6.36473e-05,1830578,1.65445
6,0,0.729648,0.000433515,3072000,3.00728
7,0,0.730952,0.000248443,3045000,3.00041
8,1,1,-0.00037532,775495,0.5866
9,0,0.740334,7.01651e-05,3345000,3.00068
10,1,1,-9.93058e-05,73312,0.0918118
11,1,1,-0.000231434,2649169,2.57794
12,1,1,-1.3341e-05,1346884,1.02938
13,1,1,-0.000385751,619529,0.655582
14,1,1,-6.44817e-05,88977,0.0823247
15,1,1,-4.34066e-06,2046483,2.32232
16,1,1,-0.000216712,72922,0.0630155
17,1,1,-2.56195e-05,2639611,2.41882
18,1,1,-0.000380744,420814,0.367217
19,1,1,-0.000362445,328136,0.341867
20,1,1,-3.78981e-05,2647563,2.95728
21,1,1,-0.000503947,1460989,2.07667
22,0,0.721139,0.00060017,2719000,3.00078
23,1,1,-0.000438143,572825,0.678535
24,1,1,-0.000357081,2051229,2.53379
25,1,1,-7.9897e-05,301237,0.339889
26,0,0.723211,8.10132e-05,2744000,3.00099
27,1,1,-0.00065868,123622,0.174671
28,0,0.719382,0.000419985,2606000,3.00004
29,1,1,-0.00027925,792143,0.742867
30,0,0.711831,4.71605e-05,2455000,3.00128
31,0,0.713444,0.00069667,2474000,3.00104
32,0,0.685762,0.000160347,2010000,3.00021
33,0,0.707138,0.000251423,2402000,3.00045
34,0,0.69436,8.44479e-05,2195000,3.00011
35,1,1,-0.00028633,80045,0.108693
36,1,1,-0.000257124,199267,0.200049
37,1,1,-0.000182857,1521756,1.75526
38,1,1,-0.000321378,492233,0.635773
39,0,0.681879,0.00022472,2473000,3.00507
40,1,1,-4.8771e-06,693702,0.951568
41,1,1,-8.82044e-05,963096,1.21845
42,0,0.651084,0.000205647,2221000,3.00016
43,1,1,-0.000675787,2417060,2.97496
44,1,1,-0.000273718,528316,0.657223
45,1,1,-0.000252475,128431,0.194662
46,0,0.669636,0.000529657,2046000,3.00086
47,0,0.675808,0.000757228,2036000,3.00111
48,1,1,-0.000301351,1220071,1.71839
49,1,1,-0.000167359,938263,1.23356
50,0,0.695882,2.09274e-05,2128000,3.00008
51,0,0.6972,0.000191818,2178000,3.00031
52,0,0.700005,0.000415455,2218000,3.00063
53,0,0.713762,0.000181805,2475000,3.00083
54,1,1,-5.28868e-05,428009,0.629626
55,1,1,-0.000273158,1110616,1.19171
56,1,1,-7.4401e-06,310129,0.273247
57,1,1,-0.000654925,705986,0.742108
58,0,0.70347,3.23758e-05,2319000,3.00055
59,0,0.710313,0.000359307,2469000,3.00182
60,0,0.697416,0.00014932,2206000,3.01388
61,0,0.692933,0.000618289,2151000,3.00067
62,1,1,-0.000239123,462705,0.424951
63,1,1,-0.000301529,1630181,1.55711
64,1,1,-0.000201751,2192130,2.03819
65,1,1,-2.09108e-05,598363,0.60812
66,0,0.739375,0.000292219,3448000,3.00085
67,1,1,-0.000298132,2285015,2.01752
68,1,1,-3.67153e-05,859886,0.715902
69,1,1,-0.000650872,2757119,2.52087
70,1,1,-9.1248e-05,625180,0.539476
71,1,1,-0.000505109,1479387,1.35207
72,1,1,-6.36722e-06,1227167,1.04755
73,1,1,-8.62821e-05,2352766,1.78459
74,1,1,-0.000332017,1846037,1.35268
75,1,1,-2.85103e-05,542087,0.380379
76,1,1,-0.000275423,1066928,0.788056
77,1,1,-1.311e-05,988098,0.673918
78,1,1,-0.000325468,146448,0.101542
79,1,1,-5.91024e-05,96629,0.0641965
80,1,1,-4.41156e-05,1674969,1.62704
81,1,1,-3.37965e-05,906552,0.983665
82,1,1,-0.000361022,539373,0.523627
83,1,1,-0.00018311,17628,0.0177459
84,1,1,-0.000233377,225400,0.211373
85,1,1,-0.0005675,762395,0.763036
86,0,0.763143,0.000135551,3178000,3.00001
87,1,1,-1.35943e-05,223944,0.212105
88,1,1,-0.000591178,278134,0.234819
89,1,1,-0.000518639,769999,0.825783
