Step,Consistent,Confidence,Minimum,Iterations,Time
0,1,1,-0.000441481,1048599,1.11625
1,1,1,-0.000228961,1864897,1.47003
2,1,1,-0.000681807,357393,0.355557
3,1,1,-4.8175e-06,251482,0.244365
4,1,1,-0.000322153,625514,0.728806
5,0,0.732002,0.000495087,3105000,3.01674
6,0,0.732042,0.000749956,3107000,3.00002
7,1,1,-0.000571261,1432066,1.0376
8,1,1,-0.000216971,3379429,2.70558
9,1,1,-0.000480105,2602675,2.21935
10,1,1,-3.25933e-05,2457689,2.64268
11,0,0.739804,7.25493e-05,3304000,3.00013
12,1,1,-0.000719753,39260,0.044859
13,1,1,-8.23631e-05,2931389,2.55141
14,1,1,-5.71157e-06,2777427,2.7862
15,1,1,-0.000320549,251418,0.235701
16,0,0.737701,5.55024e-05,3235000,3.00002
17,0,0.746342,0.000188123,3493000,3.00008
18,0,0.722979,0.000331591,2818000,3.00032
19,1,1,-0.00037377,415606,0.430642
20,0,0.731956,0.000258158,3068000,3.00023
21,1,1,-0.000370432,2417857,2.73289
22,0,0.722884,0.000117074,2793000,3.00037
23,1,1,-0.000166925,2294414,2.35525
24,0,0.726415,0.00015851,2825000,3.00612
25,0,0.711495,0.00050206,2523000,3.00016
26,0,0.723754,0.000607143,2762000,3.0003
27,0,0.727004,0.00114895,2778000,3.00523
28,0,0.704611,0.000563334,2346000,3.0003
29,1,1,-0.000142683,1641453,1.87733
30,0,0.725096,0.000310133,2739000,3.00037
31,0,0.70023,0.000351797,2211000,3.00079
32,1,1,-0.000163823,2028698,2.66445
33,1,1,-4.36797e-05,1992803,2.71244
34,1,1,-7.23496e-05,1143254,1.38159
35,1,1,-0.00033306,754518,0.859814
36,0,0.718751,0.000222217,2534000,3.00026
37,0,0.715985,8.59355e-06,2543000,3.00023
38,1,1,-0.000189532,331889,0.519236
39,0,0.718179,0.000724445,2545000,3.00083
40,0,0.717354,0.000136147,2575000,3.00374
41,0,0.715247,7.73773e-05,2505000,3.00063
42,0,0.708035,5.43699e-05,2395000,3.0001
43,0,0.709001,1.47924e-05,2384000,3.00055
44,1,1,-0.000605215,1572612,1.75546
45,1,1,-9.49993e-05,1546026,1.6535
46,1,1,-0.000411619,1146819,1.21115
47,1,1,-0.000636329,944279,1.10055
48,0,0.703543,0.000296007,2294000,3.00075
49,0,0.707079,0.000198692,2362000,3.00231
50,1,1,-9.95963e-05,617825,0.990215
51,1,1,-0.000327332,1076379,1.18975
52,0,0.708333,0.000535529,2339000,3.00083
53,0,0.713628,0.000185739,2496000,3.00004
54,0,0.718334,9.05499e-05,2611000,3.00013
55,1,1,-0.000644435,1096231,1.28617
56,0,0.7066,0.000121191,2418000,3.00019
57,1,1,-0.00023364,1845553,1.93091
58,0,0.735569,0.000378798,3053000,3.00089
59,0,0.729136,0.000195633,2923000,3.00001
60,0,0.727313,0.0001235,2870000,3.00062
61,0,0.719202,0.000399719,2682000,3.00088
62,0,0.726379,0.00018997,2927000,3.00028
63,1,1,-0.000331213,1597288,1.59584
64,1,1,-0.000556458,1914001,1.9697
65,1,1,-4.2428e-05,453953,0.457524
66,1,1,-0.00044923,200293,0.182151
67,1,1,-7.58066e-05,2509428,2.21387
68,1,1,-0.00060754,1104654,1.02244
69,0,0.730422,8.16353e-05,3108000,3.00063
70,1,1,-0.000110616,60906,0.0582272
71,1,1,-0.000101675,978743,0.822802
72,1,1,-0.000563969,1170367,1.2015
73,0,0.743446,6.20589e-05,3313000,3.00025
74,1,1,-0.00022702,757147,0.54312
75,1,1,-0.00014009,1954761,1.40447
76,1,1,-0.000182201,1958720,1.37629
77,1,1,-0.000248172,642306,0.504403
78,1,1,-0.000433464,431928,0.316874
79,1,1,-8.42731e-06,2031045,1.71211
80,1,1,-0.000210692,585848,0.504517
81,1,1,-0.000152942,2438958,2.85319
82,1,1,-0.000362229,891140,0.899375
83,1,1,-1.51794e-05,1885129,1.79164
84,1,1,-5.95644e-05,1672574,1.54805
85,0,0.734015,2.67413e-05,2668000,3.00013
86,1,1,-0.000177835,668439,0.673191
87,1,1,-0.000139159,262999,0.291422
88,1,1,-0.000204936,143101,0.145315
89,1,1,-0.000168075,385688,0.48453
90,1,1,-0.00024559,220928,0.276715
91,1,1,-0.000408505,616022,0.781453
92,1,1,-0.000384231,1856733,2.14546
93,1,1,-4.80607e-05,25458,0.0342723
