Step,Consistent,Confidence,Minimum,Iterations,Time
0,1,1,-8.98137e-05,1339516,1.24026
1,0,0.728309,6.38471e-05,3042000,3.00037
2,1,1,-9.24363e-05,2615632,2.7208
3,0,0.728937,0.00014777,3016000,3.00015
4,1,1,-0.000280429,1898925,2.28573
5,1,1,-9.70855e-05,916808,0.856005
6,1,1,-0.000899662,198528,0.152775
7,1,1,-0.000357439,1047664,1.00444
8,1,1,-0.000378241,132985,0.211016
9,1,1,-0.000500311,1778500,1.92219
10,1,1,-0.000164022,560207,0.549587
11,1,1,-4.70632e-05,1245794,1.49182
12,1,1,-0.000394811,177330,0.17601
13,1,1,-0.000575353,444618,0.457063
14,0,0.709985,0.000193428,2524000,3.00072
15,0,0.725929,0.000138889,2944000,3.00004
16,1,1,-5.32165e-05,212253,0.174792
17,0,0.727837,0.000250708,2917000,3.0048
18,0,0.74052,0.000242244,3330000,3.00012
19,1,1,-0.000161125,944937,0.923919
20,1,1,-0.000139464,2590173,2.70563
21,0,0.733645,0.000302862,3068000,3.00035
22,1,1,-1.66695e-05,1884994,2.16006
23,1,1,-0.000219335,1818304,1.9915
24,0,0.725185,6.67677e-05,2838000,3.00021
25,1,1,-5.04747e-05,2178973,2.33472
26,0,0.721559,0.00026421,2732000,3.0088
27,0,0.718411,0.000538538,2671000,3.00002
28,0,0.728495,0.000241648,2898000,3.00095
29,1,1,-0.000505079,1546806,2.08074
30,0,0.722942,0.000338505,2752000,3.00085
31,1,1,-0.000533809,1454292,1.89635
32,1,1,-0.000221056,396245,0.543228
33,0,0.710021,0.000393865,2430000,3.00076
34,1,1,-0.00068139,152576,0.159761
35,0,0.729969,0.00020958,2934000,3.00119
36,1,1,-7.96809e-05,1376378,1.37707
37,0,0.724267,0.000116597,2735000,3.00072
38,0,0.714706,0.000120591,2502000,3.00032
39,1,1,-0.000113498,44245,0.0515741
40,1,1,-0.000451316,2377335,2.49805
41,0,0.728652,0.00075085,2869000,3.00062
42,1,1,-0.000176837,745424,0.86193
43,1,1,-0.000261892,293439,0.4058
44,0,0.723813,0.000106405,2779000,3.00035
45,0,0.707268,2.12297e-05,2410000,3.00081
46,1,1,-2.96279e-05,1282417,1.67923
47,0,0.727966,0.000213487,2878000,3.00038
48,1,1,-1.49503e-05,1050115,1.23065
49,1,1,-5.20244e-05,20325,0.0235979
50,0,0.720271,0.000360239,2757000,3.00008
51,0,0.728932,4.37279e-06,2951000,3.00026
52,1,1,-0.000744154,1616693,2.1421
53,1,1,-3.2176e-05,2282028,2.53904
54,1,1,-9.97081e-05,1890642,2.06769
55,0,0.710644,0.000113915,2598000,3.00034
56,1,1,-0.000252832,316689,0.438028
57,1,1,-0.000129689,23441,0.0233531
58,1,1,-0.000429858,621164,0.628331
59,1,1,-0.000312199,668045,0.554942
60,1,1,-0.000177909,1459710,1.39125
61,1,1,-2.27585e-05,1210502,1.41463
62,0,0.718392,0.000186126,2625000,3.00502
63,1,1,-0.00064515,308247,0.366337
64,1,1,-0.000305571,175616,0.154973
65,1,1,-0.000118007,80476,0.0626802
66,1,1,-2.91511e-05,1270571,1.02754
67,0,0.74776,5.79611e-05,3065000,3.00028
68,0,0.756542,0.000215451,3384000,3.00367
69,1,1,-0.000158061,251536,0.295182
70,0,0.744121,4.01542e-05,2837000,3.00038
71,1,1,-6.70075e-05,439822,0.520428
72,1,1,-7.71328e-05,254466,0.304908
73,1,1,-3.92057e-05,100266,0.11453
74,1,1,-0.000116498,82425,0.100499
75,1,1,-0.000290834,298006,0.321839
76,1,1,-0.000354183,145039,0.167819
77,1,1,-0.000162889,619329,0.645824
78,1,1,-0.000204504,2243764,2.72407
79,1,1,-0.000299741,632472,0.6983
80,1,1,-0.000136633,884486,1.09762
81,1,1,-2.23115e-05,320324,0.349704
82,0,0.730731,4.79624e-05,2615000,3.00091
83,1,1,-6.34859e-06,1883954,2.29498
