Step,Consistent,Confidence,Minimum,Iterations,Time
0,1,1,-0.000375797,1368964,1.28548
1,1,1,-6.54354e-05,1163091,0.957579
2,1,1,-0.00040703,1452918,1.16559
3,1,1,-0.000670125,1428804,1.55085
4,1,1,-0.000546743,1537340,1.44107
5,1,1,-0.000161995,2289860,1.74114
6,1,1,-0.000163714,902559,0.819189
7,0,0.745554,0.000333737,3561000,3.00022
8,0,0.725332,0.000534962,2897000,3.00032
9,0,0.735443,0.00027741,3181000,3.00055
10,0,0.738777,0.000116895,3290000,3.00071
11,0,0.74728,0.000721227,3594000,3.00031
12,0,0.731431,0.000894617,3041000,3.00252
13,0,0.746166,0.000787745,3500000,3.00051
14,0,0.729405,0.00098456,2965000,3.00012
15,0,0.736668,0.000434588,3158000,3.00063
16,1,1,-1.9944e-05,1593219,1.27658
17,1,1,-7.42569e-05,614984,0.748745
18,1,1,-0.000348498,2109367,1.86723
19,1,1,-0.000327338,1395508,1.63805
20,1,1,-0.000559856,936579,0.943055
21,1,1,-0.000100066,516234,0.477796
22,1,1,-0.000113,2016386,2.4079
23,0,0.733315,0.000471532,3019000,3.00058
24,0,0.722763,5.06074e-05,2762000,3.00026
25,1,1,-0.000237693,2573896,2.52955
26,0,0.712213,0.000320743,2486000,3.0008
27,0,0.719022,0.000383388,2612000,3.0002
28,1,1,-0.000578393,540703,0.577199
29,0,0.729636,0.00020809,2886000,3.00047
30,0,0.73332,0.000200699,2998000,3.00084
31,1,1,-0.000327949,53795,0.0564025
32,0,0.732196,0.000643864,2903000,3.00023
33,0,0.712833,0.0014121,2450000,3.00223
34,0,0.721838,0.000602494,2643000,3.00092
35,0,0.712578,0.00022522,2470000,3.0001
36,0,0.718087,0.00033332,2549000,3.00037
37,0,0.70769,0.00067092,2347000,3.00032
38,0,0.724141,0.000127684,2692000,3.00091
39,1,1,-0.000460733,1419247,1.78724
40,1,1,-3.05537e-05,12383,0.0322187
41,1,1,-0.000369658,1014312,1.19755
42,0,0.73095,0.000504255,2897000,3.00067
43,1,1,-0.000144367,602732,0.590931
44,1,1,-0.000833024,63176,0.0695948
45,0,0.723488,0.000449191,2746000,3.0001
46,0,0.711817,0.000700365,2474000,3.00041
47,0,0.725582,0.000392805,2724000,3.00102
48,0,0.715399,0.000622164,2530000,3.00912
49,0,0.725785,0.000614773,2741000,3.00086
50,0,0.729175,0.00046439,2818000,3.00077
51,0,0.735053,9.10268e-05,3062000,3.00036
52,0,0.733427,5.76482e-05,3008000,3.00011
53,1,1,-2.04046e-05,562044,0.489381
54,1,1,-4.63023e-05,2017087,1.99628
55,1,1,-8.42109e-05,2418098,2.40986
56,0,0.719216,0.000388382,2684000,3.00028
57,1,1,-1.15528e-05,1675853,1.68687
58,1,1,-0.000604922,431282,0.610702
59,1,1,-0.000237154,371911,0.320854
60,1,1,-7.86677e-05,327633,0.292523
61,0,0.726118,0.000193726,2866000,3.00071
62,0,0.727048,0.000839244,2916000,3.00115
63,1,1,-0.00045215,1974118,2.29696
64,1,1,-0.000147034,685828,0.645835
65,0,0.729424,0.000117551,3070000,3.00023
66,1,1,-0.000189294,726869,0.701088
67,1,1,-0.000109277,318915,0.334362
68,0,0.719572,1.85475e-05,2769000,3.00189
69,1,1,-0.00041758,2367790,2.49123
70,1,1,-0.000133146,1543868,1.3746
71,0,0.731226,6.14927e-05,3024000,3.00072
72,1,1,-3.00601e-05,952843,1.11791
73,1,1,-0.000127603,1807480,2.00014
74,1,1,-0.000308667,877484,0.781018
75,1,1,-0.000302662,215913,0.280842
76,1,1,-0.000370108,64413,0.112118
77,1,1,-0.000164245,8502,0.00659077
78,1,1,-0.000200522,95465,0.149212
79,1,1,-0.000474416,101669,0.151097
80,1,1,-0.000225351,155551,0.17531
81,1,1,-0.000208669,181473,0.202968
82,1,1,-0.000319225,542427,0.56082
83,1,1,-0.000100781,284104,0.251471
84,1,1,-9.57444e-05,228948,0.204506
85,1,1,-0.000251745,699467,0.639123
86,1,1,-4.07144e-05,50609,0.0508063
87,1,1,-0.000269209,72792,0.0639829
88,1,1,-0.000358288,162334,0.142751
89,1,1,-5.09515e-05,137497,0.144911
90,0,0.724658,0.000403027,2511000,3.00055
91,1,1,-6.83859e-05,87069,0.0851957
92,1,1,-7.74756e-05,115549,0.114047
93,1,1,-0.000360002,907417,1.03975
94,0,0.72125,0.000392835,2506000,3.00086
