Step,Consistent,Confidence,Minimum,Iterations,Time
0,0,0.731946,0.000336836,3077000,3.00138
1,0,0.752089,0.000209849,3721000,3.00015
2,1,1,-0.000183035,82154,0.0647219
3,1,1,-0.000572611,759282,0.759953
4,1,1,-0.000712772,2258456,2.09294
5,0,0.726184,0.000337432,2940000,3.00005
6,0,0.730671,1.8894e-05,3081000,3.00023
7,0,0.736228,0.000319134,3242000,3.00068
8,1,1,-0.000203301,2535810,2.09907
9,1,1,-0.00019372,3000038,2.46588
10,1,1,-7.34224e-05,2063987,1.79845
11,0,0.741352,0.000412713,3416000,3.00074
12,0,0.731212,0.000253882,3084000,3.00062
13,0,0.731256,0.000772736,3077000,3.00024
14,0,0.734124,0.000681023,3137000,3.00021
15,0,0.733241,0.000715847,3111000,3.00026
16,0,0.715353,0.000781565,2601000,3.00055
17,0,0.737562,0.0012532,3145000,3.00076
18,0,0.734355,0.00128676,3111000,3.00799
19,0,0.727451,0.00141759,2902000,3.00045
20,0,0.714851,0.00138028,2621000,3.00189
21,0,0.701988,0.00108815,2308000,3.00005
22,0,0.720338,0.00145232,2705000,3.00151
23,0,0.724649,0.00127236,2772000,3.0008
24,0,0.724269,0.00131704,2756000,3.00015
25,0,0.730122,0.00159988,2911000,3.00015
26,0,0.722073,0.00156541,2702000,3.00018
27,0,0.705768,0.00214095,2358000,3.00064
28,0,0.722995,0.00149877,2707000,3.00058
29,0,0.704594,0.00133307,2322000,3.00034
30,0,0.733189,0.00128735,2978000,3.00007
31,0,0.726263,0.00122226,2787000,3.00006
32,0,0.716775,0.00104937,2518000,3.00054
33,0,0.731324,0.00154256,2876000,3.00042
34,0,0.733536,0.00147975,2969000,3.00012
35,0,0.72814,0.00111666,2812000,3.00023
36,0,0.718608,0.00144757,2640000,3.00105
37,0,0.723033,0.00105811,2702000,3.0001
38,0,0.737027,0.00128324,3086000,3.00054
39,0,0.727655,0.00127221,2820000,3.0001
40,0,0.719678,0.000753797,2666000,3.00143
41,0,0.735069,0.00115096,3097000,3.00062
42,0,0.731344,0.000993171,2971000,3.00003
43,0,0.742221,0.00100453,3322000,3.0003
44,0,0.728204,0.000923584,2925000,3.00013
45,0,0.740486,0.00119258,3268000,3.00062
46,0,0.725772,0.000308047,2866000,3.00081
47,0,0.736801,0.000169586,3220000,3.00164
48,1,1,-0.000357941,109885,0.15906
49,0,0.738054,0.000625204,3297000,3.00045
50,1,1,-5.04765e-05,1130210,1.13054
51,1,1,-0.000526543,1674461,1.45152
52,1,1,-0.000446488,1408515,1.53878
53,1,1,-0.000130602,1663940,1.69583
54,0,0.740648,0.000219415,3279000,3.00027
55,1,1,-0.000232198,1549932,1.67867
56,0,0.737999,0.000406779,3088000,3.00038
57,0,0.735771,0.000845536,2955000,3.00033
58,0,0.736476,0.000973399,2931000,3.0008
59,0,0.746123,0.00108714,3217000,3.00112
60,0,0.747884,0.000936232,3301000,3.00068
61,0,0.750928,0.00113401,3411000,3.00027
62,0,0.751681,0.00136484,3520000,3.00054
63,0,0.763021,0.00154557,3872000,3.00045
64,0,0.752645,0.00144958,3498000,3.00078
65,0,0.758085,0.000744361,3731000,3.00043
66,0,0.751887,0.000844888,3475000,3.00065
67,0,0.748358,2.62812e-05,3376000,3.00078
68,0,0.750964,0.000162381,3359000,3.00039
69,1,1,-0.000197042,2123963,1.95224
70,0,0.755405,0.000163744,3548000,3.0003
71,0,0.755004,0.000554468,3526000,3.00053
72,0,0.754161,0.000658582,3539000,3.00049
73,0,0.741185,0.000865783,3064000,3.00094
74,0,0.744269,0.000915165,3118000,3.00006
75,0,0.730671,0.00116727,2762000,3.00058
76,0,0.728778,0.000459389,2704000,3.00032
77,0,0.732366,0.000409765,2786000,3.00088
78,0,0.724747,0.000280248,2602000,3.00047
79,0,0.705487,0.000141039,2197000,3.00006
80,0,0.71555,0.000582488,2418000,3.00069
81,0,0.707763,0.000679578,2238000,3.00002
82,0,0.727294,0.000797265,2630000,3.00191
83,0,0.721776,0.000791977,2530000,3.00007
84,0,0.730658,0.000729178,2740000,3.00067
85,0,0.71626,0.00086871,2405000,3.00001
86,0,0.742323,0.00099736,3039000,3.00008
87,0,0.73206,0.0011468,2790000,3.00062
88,0,0.745801,0.0013898,3157000,3.0006
89,0,0.742075,0.00170791,3041000,3.00017
90,0,0.731825,0.00205071,2830000,3.00048
91,0,0.730934,0.00275027,2790000,3.00054
92,0,0.727428,0.00320034,2780000,3.00057
93,0,0.718569,0.0032867,2636000,3.00168
94,0,0.706483,0.00308886,2514000,3.00019
95,0,0.718922,0.00242967,2866000,3.00045
96,0,0.718645,0.00285265,2855000,3.00079
97,0,0.726894,0.00233103,2967000,3.00069
98,0,0.732807,0.0023341,2839000,3.00062
99,0,0.741574,0.00143284,2639000,3.00041
100,0,0.771347,0.00109778,3180000,3.00035
101,0,0.777899,0.000587086,2879000,3.00135
102,1,1,-7.84292e-05,2592713,2.87618
103,1,1,-0.000388642,359347,0.354739
104,0,0.817134,0.00011311,2980000,3
