Step,Consistent,Confidence,Minimum,Iterations,Time
0,0,0.731161,0.000202845,3031000,3.00029
1,1,1,-9.89641e-05,2152510,2.10024
2,1,1,-0.000112106,1474683,1.4365
3,0,0.742542,0.000342737,3422000,3.00058
4,0,0.720055,4.32238e-05,2747000,3.00047
5,1,1,-0.000126176,195572,0.167332
6,1,1,-7.25202e-05,788968,0.63188
7,1,1,-0.000363417,188032,0.16082
8,1,1,-0.00050341,1440261,1.26916
9,1,1,-0.000279833,1072168,0.835957
10,0,0.719207,0.000171195,2726000,3.00079
11,0,0.74059,0.000261854,3377000,3.00061
12,0,0.722508,0.000461768,2802000,3.01353
13,0,0.72111,0.000368478,2817000,3.00056
14,0,0.710178,0.000328551,2544000,3.00021
15,0,0.730479,0.000540923,3058000,3.00106
16,0,0.738688,6.61521e-05,3300000,3.00045
17,1,1,-0.00015526,2959751,2.94712
18,0,0.732835,0.000284444,3117000,3.00035
19,0,0.737694,0.000358473,3272000,3.00038
20,0,0.724848,0.000473689,2871000,3.00044
21,0,0.742865,0.000548254,3395000,3.00045
22,0,0.744729,0.000279176,3497000,3.00024
23,1,1,-9.82708e-06,348445,0.326388
24,0,0.727269,0.000800739,2896000,3.00061
25,0,0.741302,0.00142903,3310000,3.00104
26,0,0.745484,0.000469278,3452000,3.00039
27,0,0.727236,0.000376237,2906000,3.00006
28,0,0.704859,0.000546768,2393000,3.00113
29,0,0.711809,0.00107454,2537000,3.00057
30,0,0.721308,0.00128789,2731000,3.00131
31,0,0.734767,0.000829707,3103000,3.0004
32,0,0.734636,0.000805535,3156000,3.00077
33,0,0.738021,0.000326488,3198000,3.00069
34,0,0.733553,0.000669371,3103000,3.00092
35,0,0.734772,0.000367541,3131000,3.00084
36,0,0.744293,0.000519048,3469000,3.00049
37,0,0.736609,0.000684599,3192000,3.00022
38,0,0.717996,0.000655456,2679000,3.00154
39,1,1,-0.000129587,1966252,1.91261
40,0,0.733121,0.000428449,3082000,3.00008
41,0,0.734694,0.000295836,3171000,3.00966
42,0,0.729202,0.000518763,2978000,3.00062
43,0,0.724715,7.51414e-06,2931000,3.00043
44,0,0.740362,0.000416157,3355000,3.00061
45,0,0.740229,9.80601e-05,3335000,3.00023
46,1,1,-3.27721e-05,3017480,2.70798
47,1,1,-0.00039946,1248747,1.29579
48,1,1,-5.87597e-05,1142481,0.994603
49,0,0.737652,0.000119339,3283000,3.00061
50,0,0.723122,0.000370431,2842000,3.00013
51,1,1,-0.000117202,639682,0.572416
52,1,1,-0.000204199,820301,0.548044
53,0,0.755992,2.39548e-05,3975000,3.00006
54,0,0.744806,0.000961582,3469000,3.00022
55,0,0.746294,0.00102226,3537000,3.0006
56,0,0.747665,0.000501192,3517000,3.00018
57,0,0.739178,7.84874e-05,3274000,3.00109
58,0,0.736042,0.000148853,3075000,3.00085
59,0,0.739286,0.000402759,3230000,3.00025
60,0,0.734969,0.000401291,3087000,3.00072
61,0,0.730009,0.000389011,2963000,3.00031
62,0,0.733613,0.0011561,3006000,3.00032
63,0,0.744089,0.00160102,3324000,3.00078
64,0,0.743951,0.00200327,3311000,3.00117
65,0,0.743012,0.00238462,3236000,3.00084
66,0,0.729749,0.00160176,2862000,3.00119
67,0,0.727596,0.00183955,2799000,3.00019
68,0,0.752226,0.00188768,3583000,3.0006
69,0,0.746996,0.00198208,3378000,3.00003
70,0,0.738779,0.0017843,3091000,3.00046
71,0,0.736648,0.00188316,3073000,3.00056
72,0,0.740738,0.00224563,3131000,3.00078
73,0,0.726107,0.00222787,2782000,3.00197
74,0,0.749504,0.00192788,3449000,3.00004
75,0,0.747728,0.00244252,3420000,3.00059
76,0,0.732003,0.00194674,3000000,3.00012
77,0,0.730052,0.00214233,3016000,3.00032
78,0,0.740305,0.00175096,3376000,3.00185
79,0,0.73379,0.0016414,3269000,3.0006
80,0,0.722997,0.00182153,3013000,3.00024
81,0,0.731718,0.00142913,3320000,3.0003
82,0,0.737686,0.00101723,3384000,3.00036
83,0,0.732234,0.000596072,2939000,3.00068
84,0,0.742268,0.000315684,2884000,3.00021
85,0,0.749453,4.22255e-05,2762000,3.00117
86,1,1,-2.66253e-05,338440,0.425783
87,1,1,-0.000159972,805253,0.846311
88,1,1,-2.85066e-05,2802017,2.81686
89,0,0.784964,0.000176876,2835000,3.00009
90,0,0.777421,0.000865172,2549000,3.00003
91,0,0.792901,0.000993024,3084000,3.00079
92,0,0.777159,0.001189,2636000,3.00068
93,0,0.781553,0.00114794,3001000,3.00068
94,0,0.754206,0.000943727,2470000,3.00116
95,0,0.737688,0.00215484,2263000,3.00017
96,0,0.698882,0.000581633,2460000,3.00082
97,0,0.654028,0.000438343,2900000,3.00063
98,0,0.582722,0.00237335,2620000,3.00073
99,0,0.622762,0.00578798,2465000,3.00089
100,0,0.698976,0.00973965,2260000,3.00002
101,0,0.705205,0.0018505,2539000,3.00065
102,0,0.681599,0.00121312,2373000,3.00089
103,0,0.659459,0.00155188,2213000,3.00075
104,0,0.641438,0.00177364,2219000,3.00051
