Step,Consistent,Confidence,Minimum,Iterations,Time
0,1,1,-9.19844e-06,394347,0.339718
1,0,0.738646,0.000245433,3288000,3.0006
2,1,1,-0.000411023,2494870,2.34434
3,1,1,-0.000247384,858252,0.815728
4,1,1,-1.27691e-05,3082150,2.99383
5,1,1,-0.00035913,2531971,2.63102
6,1,1,-0.00027435,178640,0.181177
7,1,1,-0.000804891,33219,0.0615196
8,1,1,-4.69829e-06,767295,0.540159
9,0,0.738541,0.000176863,3290000,3.00037
10,1,1,-5.00183e-05,280347,0.21657
11,1,1,-9.10903e-06,3601015,2.99547
12,1,1,-0.000374486,1616908,1.55753
13,1,1,-2.27941e-07,1223100,1.04412
14,1,1,-5.22628e-05,1887602,1.63935
15,1,1,-0.000709046,273166,0.234629
16,1,1,-0.000655026,392788,0.370944
17,1,1,-0.000285198,3022292,2.82477
18,0,0.736434,0.000273655,3132000,3.00029
19,1,1,-0.000361451,1235497,1.06213
20,0,0.724885,3.89919e-05,2833000,3.00142
21,1,1,-6.65679e-05,1019148,1.0319
22,1,1,-0.000672449,221183,0.220721
23,1,1,-7.87869e-05,32495,0.039556
24,1,1,-0.000676145,134725,0.182394
25,1,1,-0.00058169,1505309,1.54374
26,1,1,-0.000385393,30015,0.0492423
27,1,1,-0.000774075,1106290,1.22436
28,1,1,-0.000388249,233812,0.225932
29,1,1,-5.32612e-05,1278591,1.22005
30,1,1,-0.000229378,1001900,0.93164
31,0,0.733023,0.000262731,2949000,3.00048
32,1,1,-1.52483e-05,782547,0.821684
33,1,1,-2.89574e-05,212960,0.208521
34,1,1,-0.000405897,2119486,2.11034
35,1,1,-0.000225779,1312569,1.26072
36,1,1,-0.00031626,1642581,1.81198
37,1,1,-0.000220687,164411,0.206942
38,0,0.716462,0.000274532,2529000,3.00129
39,0,0.730048,0.00020207,2851000,3.0002
40,0,0.702338,0.000206964,2261000,3.00065
41,1,1,-7.06806e-05,1551291,1.68875
42,0,0.730756,0.000275474,2876000,3.00249
43,1,1,-0.000285019,403298,0.41381
44,1,1,-0.000149836,2512046,2.79037
45,0,0.719448,0.000137936,2596000,3.00034
46,0,0.729488,0.000112186,2814000,3.00077
47,0,0.720812,0.000935088,2649000,3.0027
48,1,1,-0.000173558,372873,0.391549
49,1,1,-0.000252236,1730821,2.13931
50,1,1,-8.80242e-05,1343870,1.52206
51,1,1,-0.000198936,1280235,1.34418
52,1,1,-0.000398268,1386396,1.38242
53,1,1,-4.96402e-05,1641592,1.55415
54,0,0.731399,0.000226091,2950000,3.00076
55,1,1,-0.0001099,2762979,2.82944
56,0,0.736345,0.000183354,3069000,3.00061
57,1,1,-5.79848e-05,626146,0.614555
58,1,1,-2.8719e-05,1359455,1.66486
59,0,0.733625,0.000210832,3082000,3.00008
60,1,1,-0.000487079,403585,0.367521
61,1,1,-0.000240017,774975,0.645557
62,1,1,-0.000373491,12550,0.01508
63,1,1,-0.000130881,711637,0.691936
64,1,1,-1.75729e-05,12505,0.0278174
65,1,1,-0.000344862,330795,0.364722
66,1,1,-1.60828e-05,1754611,1.4192
67,1,1,-2.38314e-05,80687,0.0748229
68,1,1,-0.000100399,1223619,0.968099
69,1,1,-0.000551215,725981,0.633709
70,1,1,-0.00028937,540772,0.404354
71,1,1,-0.000390698,2499126,2.19199
72,1,1,-0.000200798,1320634,1.28696
73,1,1,-7.08296e-05,491570,0.412244
74,1,1,-0.000431319,1629436,1.40414
75,1,1,-0.000349586,456034,0.497222
76,1,1,-0.000223954,62607,0.0814267
77,1,1,-0.000141461,1775973,1.82899
78,1,1,-0.000108127,18213,0.0204322
79,1,1,-0.000224945,569175,0.657538
80,1,1,-0.000213695,301312,0.355038
81,1,1,-0.00010831,318633,0.309883
82,1,1,-0.000191393,204116,0.311308
83,1,1,-0.000291873,235908,0.196287
84,1,1,-6.12668e-05,25594,0.0219587
85,1,1,-1.72078e-05,263730,0.235411
86,1,1,-0.000167791,2174727,1.90237
87,0,0.719663,1.81841e-07,2437000,3.00036
88,1,1,-0.000188906,262932,0.268305
89,1,1,-0.000268836,1846648,1.73937
90,1,1,-5.19648e-05,493672,0.48358
91,1,1,-7.52702e-05,668539,0.626012
92,1,1,-5.85511e-05,1808721,1.8005
93,1,1,-6.78445e-06,821529,0.738694
94,0,0.736506,0.000158499,2836000,3.00079
95,1,1,-0.000513752,2251197,2.37889
