Step,Consistent,Confidence,Minimum,Iterations,Time
32,0,0.911838,0.00543413,5355000,2.00035
33,0,0.923494,0.0153226,5352000,2.00003
34,0,0.937125,0.0046448,5384000,2
35,0,0.938552,0.00363414,5370000,2.00001
36,1,1,-0.00365141,3147604,1.17003
37,1,1,-0.00297723,3231304,1.1874
38,1,1,-0.00489578,2258315,0.830402
39,1,1,-0.00279881,2327623,0.859235
40,1,1,-0.00318404,3528838,1.3187
41,0,0.928601,6.58184e-05,5462000,2.00028
42,1,1,-0.00424249,2746058,1.00898
43,1,1,-0.00267646,1413710,0.519382
44,1,1,-0.00153789,4311169,1.61236
45,1,1,-0.00355658,195341,0.0767955
46,1,1,-0.00119093,1097667,0.413744
47,0,0.883209,0.000576213,5407000,2
48,1,1,-0.0017648,1451787,0.54542
49,1,1,-0.000589669,716237,0.266311
50,1,1,-0.00886506,3455808,1.26989
51,1,1,-0.000514179,4840978,1.7852
52,1,1,-0.000423223,657959,0.248251
53,1,1,-0.00116009,217838,0.0843361
54,1,1,-0.00172119,393278,0.147192
55,1,1,-5.08055e-05,275857,0.10463
56,1,1,-0.00127814,21094,0.00966711
57,1,1,-0.000831857,493855,0.183987
58,0,0.876095,0.00147187,5414000,2.00009
59,0,0.876964,0.00303929,5411000,2.00008
60,1,1,-0.00487749,553757,0.204587
61,1,1,-0.00174481,54965,0.0221352
62,0,0.876971,0.00377513,5494000,2.00001
63,0,0.878493,0.00147649,5485000,2.00032
64,0,0.880193,0.00169297,5481000,2.00009
65,1,1,-9.49837e-05,1648594,0.6095
66,1,1,-0.0029721,1228825,0.454069
67,0,0.876791,0.000312779,5438000,2.00026
68,0,0.877324,0.00467438,5508000,2.00002
69,1,1,-0.00114618,633978,0.231014
70,1,1,-0.00364142,1279535,0.465869
71,1,1,-0.000712089,5155326,1.88663
72,0,0.878362,0.00166121,5507000,2.00031
73,1,1,-6.84336e-05,799594,0.293612
